province,covers_municipalities,representative,phone,email,address
HEAD_OFFICE,All municipalities (if provincial unresponsive),,0800 11 20 40,registrations@pprotect.org,"175 Lunnon Street, Hillcrest Office Park, Pretoria"
HEAD_OFFICE_COMPLAINTS,All municipalities,,0800 11 20 40,registration2@pprotect.org,"175 Lunnon Street, Hillcrest Office Park, Pretoria"
Western Cape,"CoCT, George, Drakenstein, Stellenbosch, all WC municipalities",,021 423 8644,,"4th Floor c/o Wale & Bree Streets, Cape Town"
Gauteng,"CoJ, CoT, Ekurhuleni, Emfuleni, all Gauteng municipalities",Ms Winnie Manyathela,011 492 2807,,"187 Bree Street, Johannesburg"
KwaZulu-Natal,"eThekwini, Msunduzi, Newcastle, all KZN municipalities",Ms Molly Ngcobo (Acting),072 756 9103,mlungisik@pprotect.org,
Eastern Cape,"NMBM, BCM, all EC municipalities",Ms Sibongile Lwana,040 635 1286,,"Unathi House, Independent Avenue, Bisho"
Free State,"Mangaung/CENTLEC, Matjhabeng, all FS municipalities",Ms Vanessa Mundree,069 525 4236,vanessam@pprotect.org,
Mpumalanga,"Mbombela, Steve Tshwete, all Mpumalanga municipalities",Mr Botromia Sithole,013 752 8543,,"Pinnacle Building, 1 Parkin Street, Nelspruit"
North West,"Rustenburg, JB Marks, Madibeng, all NW municipalities",,018 381 1060,,"Martin & Robinson Streets, Mafikeng"
Limpopo,"Polokwane, Makhado, all Limpopo municipalities",Adv George Matimolane,0800 11 20 40,,Contact via head office
Northern Cape,"Sol Plaatje, Dawid Kruiper, all NC municipalities",,0800 11 20 40,,Contact via head office
